"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.379715330E-1,4.788403511E-1,2.394201756E-1,-4.118026793E-1,6.754195355E-1
3.430069360E-1,3.734954596E-1,1.340752989E-1,-7.469909191E-1,8.458548796E-1
3.480118220E-1,4.788403213E-2,-1.244984865E-1,2.011129409E-1,2.413279277E-1
3.530472250E-1,5.746084079E-2,-1.915361285E-1,9.576806426E-2,2.217190991E-1
3.580826290E-1,1.915361360E-2,-9.576806426E-2,1.244984865E-1,1.582348135E-1
3.631180320E-1,4.788403213E-2,-1.340752989E-1,8.619125932E-2,1.664271597E-1
3.681534350E-1,6.703764945E-2,-4.788403213E-2,9.576806426E-2,1.263267553E-1
3.731583200E-1,3.830722719E-2,-1.149216816E-1,9.576806426E-2,1.544213673E-1
3.781937240E-1,9.576806799E-3,-1.436520964E-1,7.661445439E-2,1.630871382E-1
3.832291270E-1,7.661445439E-2,-8.619125932E-2,1.340752989E-1,1.768470910E-1
3.882645310E-1,0.000000000E0,-7.661445439E-2,2.873042040E-2,8.182427316E-2
3.932999330E-1,8.619125932E-2,-1.436520964E-1,1.532289088E-1,2.270329414E-1
3.983048190E-1,3.830722719E-2,-7.661445439E-2,7.661445439E-2,1.149216816E-1
4.033402220E-1,6.703764945E-2,-5.746084079E-2,6.703764945E-2,1.108595558E-1
4.083756260E-1,-1.915361360E-2,-1.628057212E-1,1.340752989E-1,2.117752335E-1
4.134110290E-1,4.788403213E-2,-1.436520964E-1,1.244984865E-1,1.960323404E-1
4.184464320E-1,1.915361360E-2,-1.723825186E-1,1.436520964E-1,2.252077229E-1
4.234513170E-1,5.746084079E-2,-1.532289088E-1,1.053448766E-1,1.946237132E-1
4.284867210E-1,9.576806799E-3,-1.149216816E-1,1.149216816E-1,1.628057156E-1
4.335221240E-1,1.053448766E-1,-1.149216816E-1,2.011129409E-1,2.544620815E-1
4.385575270E-1,-1.915361360E-2,-1.436520964E-1,2.202665508E-1,2.636667197E-1
4.435929310E-1,4.788403213E-2,-1.053448766E-1,1.819593310E-1,2.156377094E-1
4.485978160E-1,2.873042040E-2,-1.053448766E-1,1.628057212E-1,1.960323518E-1
4.536332190E-1,3.830722719E-2,-8.619125932E-2,1.915361285E-1,2.135005044E-1
4.586686220E-1,6.703764945E-2,-2.873042040E-2,2.298433632E-1,2.411378342E-1
4.637040260E-1,3.830722719E-2,-8.619125932E-2,1.723825186E-1,1.964996427E-1
4.687394290E-1,7.661445439E-2,-1.149216816E-1,1.915361285E-1,2.361416017E-1
4.737443150E-1,-9.576806799E-3,-1.149216816E-1,2.011129409E-1,2.318299444E-1
4.787797170E-1,-1.915361360E-2,-9.576806426E-2,2.298433632E-1,2.497325662E-1
4.838151210E-1,5.746084079E-2,-8.619125932E-2,2.011129409E-1,2.262235541E-1
4.888505240E-1,4.788403213E-2,-1.244984865E-1,2.011129409E-1,2.413279277E-1
4.938859270E-1,9.576806799E-3,-3.830722719E-2,2.873041928E-1,2.900049277E-1
4.988908130E-1,0.000000000E0,-1.340752989E-1,3.160346150E-1,3.432987965E-1
5.039262160E-1,2.873042040E-2,-1.340752989E-1,2.777273953E-1,3.097323505E-1
5.089616190E-1,7.661445439E-2,-1.053448766E-1,3.447650373E-1,3.685515549E-1
5.139970220E-1,9.576806799E-3,-1.149216816E-1,3.064578176E-1,3.274371727E-1
5.190324260E-1,1.915361360E-2,-1.149216816E-1,2.968810201E-1,3.189234922E-1
5.240373120E-1,4.788403213E-2,-1.149216816E-1,2.873041928E-1,3.131191029E-1
5.290727140E-1,4.788403213E-2,-8.619125932E-2,2.777273953E-1,2.947105696E-1
5.341081170E-1,5.746084079E-2,-1.053448766E-1,2.873041928E-1,3.113566933E-1
5.391435210E-1,0.000000000E0,-5.746084079E-2,3.064578176E-1,3.117982395E-1
5.441789240E-1,2.873042040E-2,-1.244984865E-1,3.447650373E-1,3.676795359E-1
5.491838100E-1,1.915361360E-2,-1.436520964E-1,2.968810201E-1,3.303651401E-1
5.542192130E-1,2.873042040E-2,-7.661445439E-2,3.543418646E-1,3.636665625E-1
5.592546160E-1,2.873042040E-2,-7.661445439E-2,3.926490843E-1,4.010841746E-1
5.642900190E-1,2.873042040E-2,-1.244984865E-1,3.830722570E-1,4.038188509E-1
5.693254230E-1,-2.873042040E-2,-7.661445439E-2,3.639186621E-1,3.730040272E-1
5.743303080E-1,4.788403213E-2,-7.661445439E-2,3.351882398E-1,3.471509920E-1
5.793657120E-1,-9.576806799E-3,-5.746084079E-2,4.118026793E-1,4.159025248E-1
5.844011140E-1,5.746084079E-2,-4.788403213E-2,3.926490843E-1,3.997098100E-1
5.894365180E-1,-9.576806799E-3,-6.703764945E-2,5.171475410E-1,5.215624036E-1
5.944719210E-1,0.000000000E0,-2.873042040E-2,7.469909191E-1,7.475432230E-1
5.994768070E-1,1.450886250E1,-2.308010340E0,1.818635559E1,2.337899768E1
6.045122100E-1,5.241386414E1,-8.465897560E0,5.022077560E1,7.308221998E1
6.095476140E-1,7.411490631E1,-1.737232780E1,7.283161926E1,1.053530345E2
6.145830160E-1,6.276639175E1,-1.910573006E1,7.766790009E1,1.016707999E2
6.196184190E-1,3.886268234E1,-9.011775017E0,7.837658691E1,8.794549189E1
6.246233050E-1,1.318726254E1,4.922478676E0,7.837658691E1,7.963054732E1
6.296587090E-1,-8.561665535E0,1.539950562E1,6.968084717E1,7.187396853E1
6.346941120E-1,-2.566584206E1,2.134670258E1,4.589205933E1,5.674943408E1
6.397295140E-1,-2.934333611E1,2.138500977E1,2.536896133E1,4.429372659E1
6.447649180E-1,-2.715982437E1,1.840662193E1,1.361821938E1,3.552345267E1
6.497698040E-1,-2.569457245E1,1.424071217E1,7.805097580E0,3.039619194E1
6.548052070E-1,-2.649902534E1,1.194227791E1,9.011775017E0,3.043071532E1
6.598406100E-1,-2.579034042E1,1.025675964E1,1.451843929E1,3.132296054E1
6.648760140E-1,-2.284068489E1,8.140285492E0,2.025494576E1,3.159468249E1
6.699114160E-1,-1.549527359E1,6.703764915E0,2.564668846E1,3.070499303E1
6.749163020E-1,-6.253654957E0,5.497087002E0,2.632664108E1,2.761192128E1
6.799517050E-1,1.340752959E0,4.721365929E0,2.175850487E1,2.230518883E1
6.849871090E-1,4.922478676E0,4.146757126E0,1.464293766E1,1.599506218E1
6.900225120E-1,6.397306919E0,3.189076662E0,8.743624687E0,1.129365833E1
6.950273970E-1,6.282385349E0,1.886630893E0,5.267243862E0,8.412585792E0
7.000628000E-1,4.941632271E0,9.576807022E-1,3.160346270E0,5.943456097E0
7.050982040E-1,3.447650433E0,4.213795066E-1,1.991975784E0,4.003975739E0
7.101336070E-1,1.838746905E0,4.788403213E-2,1.532289028E0,2.393990962E0
7.151384930E-1,7.565677166E-1,-2.011129409E-1,5.746083856E-1,9.710900687E-1
7.201738960E-1,2.585737705E-1,-3.734954596E-1,1.436520964E-1,4.764401095E-1
7.252092990E-1,1.915361285E-1,-3.926490843E-1,-1.723825186E-1,4.696542608E-1
7.302447020E-1,1.819593310E-1,-3.639186621E-1,-1.915361360E-2,4.073240131E-1
7.352801050E-1,1.149216816E-1,-3.734954596E-1,-1.915361360E-2,3.912450794E-1
7.402849910E-1,1.436520964E-1,-3.734954596E-1,-2.873042040E-2,4.011984798E-1
7.453203950E-1,8.619125932E-2,-3.256114423E-1,9.576806799E-3,3.369621044E-1
7.503557970E-1,1.340752989E-1,-3.447650373E-1,2.873042040E-2,3.710317423E-1
7.553912000E-1,1.436520964E-1,-3.734954596E-1,1.915361360E-2,4.006265643E-1
7.603960860E-1,1.723825186E-1,-3.543418646E-1,3.830722719E-2,3.959057128E-1
7.654314900E-1,1.149216816E-1,-3.064578176E-1,6.703764945E-2,3.340919533E-1
7.704668930E-1,1.149216816E-1,-3.639186621E-1,4.788403213E-2,3.846253580E-1
7.755022960E-1,1.532289088E-1,-3.447650373E-1,1.149216816E-1,3.943970364E-1
7.805376990E-1,1.819593310E-1,-2.968810201E-1,7.661445439E-2,3.565351495E-1
7.855425850E-1,5.267243981E-1,-3.447650373E-1,1.149216771E0,1.310343737E0
7.905779880E-1,9.385270476E-1,-1.532289088E-1,3.045424461E0,3.190442331E0
7.956133910E-1,1.819593310E0,-1.149216816E-1,5.200206280E0,5.510560059E0
8.006487950E-1,3.275267839E0,-2.202665508E-1,7.278373241E0,7.984398150E0
8.056841970E-1,4.893748283E0,-2.298433632E-1,9.557653427E0,1.074012753E1
8.106890830E-1,6.512228489E0,-2.681505978E-1,1.114740276E1,1.291300170E1
8.157244860E-1,8.063671112E0,-3.064578176E-1,1.192312431E1,1.439713866E1
8.207598900E-1,9.078812599E0,-4.788403511E-1,1.154005241E1,1.469104952E1
8.257952930E-1,9.021351814E0,-6.607996821E-1,1.021845245E1,1.364691230E1
8.308001780E-1,8.034940720E0,-7.565677166E-1,8.283937454E0,1.156530531E1
8.358355810E-1,6.301538944E0,-8.331822157E-1,6.598419666E0,9.162026400E0
8.408709850E-1,4.577713490E0,-8.236053586E-1,5.133168221E0,6.926990873E0
8.459063880E-1,3.256114244E0,-9.289502501E-1,4.031835556E0,5.265066618E0
8.509417920E-1,2.355894566E0,-9.002198577E-1,3.256114244E0,4.118605950E0
8.559466770E-1,1.589749932E0,-9.385270476E-1,2.355894566E0,2.993054806E0
8.609820800E-1,9.864110947E-1,-1.015141487E0,1.896207690E0,2.366246541E0
8.660174830E-1,7.086837292E-1,-1.082179189E0,1.570596337E0,2.034727815E0
8.710528870E-1,6.607996821E-1,-1.130063176E0,1.608903527E0,2.074191303E0
8.760577720E-1,6.607996821E-1,-1.139639974E0,1.752555609E0,2.192461323E0
8.810931760E-1,5.554547906E-1,-7.086837292E-1,5.018246651E0,5.098388186E0
8.861285780E-1,-7.565677166E-1,6.320692301E-1,1.323514652E1,1.327181260E1
8.911639820E-1,-2.317587137E0,2.059013367E0,2.050394249E1,2.073698155E1
8.961993850E-1,-4.290409565E0,4.041412354E0,2.258211136E1,2.333864566E1
9.012042710E-1,-6.761225700E0,6.358999729E0,2.253422546E1,2.437093285E1
9.062396740E-1,-8.015787125E0,8.121131897E0,1.928768921E1,2.241027848E1
9.112750770E-1,-7.939172745E0,9.548076630E0,1.522712326E1,1.964844813E1
9.163104800E-1,-8.293514252E0,1.083136845E1,1.022802925E1,1.705032268E1
9.213153660E-1,-7.680599213E0,1.101332760E1,6.550535679E0,1.493969567E1
9.263507690E-1,-6.358999729E0,1.045787334E1,4.730942726E0,1.312195913E1
9.313861720E-1,-5.793968201E0,9.911994934E0,5.880159378E0,1.289937926E1
9.364215760E-1,-5.123591423E0,8.322244644E0,8.791508675E0,1.314540109E1
9.414569780E-1,-5.334281445E0,7.029376030E0,1.085052204E1,1.398572538E1
9.464618640E-1,-5.257667065E0,5.793968201E0,1.203804588E1,1.435714732E1
9.514972670E-1,-4.548983097E0,4.692635536E0,1.228704357E1,1.391709435E1
9.565326710E-1,-3.926490784E0,4.098873138E0,1.244027233E1,1.367400697E1
9.615680740E-1,-3.438073635E0,3.476380825E0,1.169328117E1,1.267432044E1
9.665729600E-1,-2.422932148E0,2.719813108E0,1.093671322E1,1.152734486E1
9.716083620E-1,-2.193088770E0,2.643198729E0,1.030464458E1,1.086194448E1
9.766437660E-1,-1.781286120E0,2.164358377E0,8.868123055E0,9.300593204E0
9.816791690E-1,-1.206677675E0,1.752555609E0,7.632715225E0,7.923753144E0
9.867145730E-1,-1.053448796E0,1.503558636E0,6.809109688E0,7.052263302E0
9.917194580E-1,-1.110909581E0,1.455674648E0,6.186617374E0,6.451925551E0
9.967548610E-1,-5.171475410E-1,9.959878922E-1,5.123591423E0,5.245056962E0
1.001790264E0,-3.543418646E-1,8.140285611E-1,4.606443882E0,4.691217954E0
1.006825668E0,-2.106897533E-1,6.607996821E-1,3.897760391E0,3.958987555E0
1.011861071E0,-8.619125932E-2,7.182605267E-1,3.629609823E0,3.700999134E0
1.016865957E0,0.000000000E0,6.320692301E-1,3.284844637E0,3.345103257E0
1.021901360E0,5.746084079E-2,7.374141216E-1,3.677493811E0,3.751138769E0
1.026936763E0,-1.915361360E-2,8.236053586E-1,4.060565948E0,4.143294398E0
1.031972166E0,-1.340752989E-1,1.024718285E0,5.085284233E0,5.189233034E0
1.037007569E0,-7.278373241E-1,1.493981838E0,6.675034523E0,6.878794574E0
1.042012455E0,-8.236053586E-1,1.647210717E0,8.207323074E0,8.411407788E0
1.047047859E0,-1.082179189E0,1.953668594E0,9.624691010E0,9.880415467E0
1.052083261E0,-1.810016513E0,2.480392933E0,1.141555405E1,1.182131055E1
1.057118664E0,-2.327163935E0,2.825158119E0,1.225831223E1,1.279310084E1
1.062123550E0,-2.413355350E0,2.700659513E0,1.341710663E1,1.389735932E1
1.067158954E0,-2.892195702E0,3.083731890E0,1.355118179E1,1.419537694E1
1.072194357E0,-3.055001259E0,3.074155092E0,1.335006905E1,1.403594691E1
1.077229760E0,-2.911349297E0,2.978386879E0,1.288080502E1,1.353742520E1
1.082234645E0,-2.863465309E0,2.987963676E0,1.233492756E1,1.301068017E1
1.087270049E0,-2.470816135E0,2.844311714E0,1.122401714E1,1.183949333E1
1.092305452E0,-2.298433542E0,2.729389906E0,1.008437729E1,1.069705713E1
1.097340855E0,-1.972822189E0,2.365471363E0,8.753201485E0,9.279332863E0
1.102376259E0,-1.723825216E0,2.097320795E0,7.862558365E0,8.318061790E0
1.107381144E0,-1.302445769E0,1.695094824E0,6.904877663E0,7.228211880E0
1.112416547E0,-8.714894056E-1,1.254561663E0,5.880159378E0,6.075334811E0
1.117451950E0,-9.002198577E-1,9.481038451E-1,5.267243862E0,5.427076063E0
1.122487354E0,-7.757213712E-1,6.320692301E-1,4.740519524E0,4.844974769E0
1.127492240E0,-6.895300746E-1,2.777273953E-1,4.012681961E0,4.080955862E0
1.132527642E0,-6.224924326E-1,-9.576806799E-3,3.667917013E0,3.720376830E0
1.137563045E0,-5.650315881E-1,-2.298433632E-1,3.217807055E0,3.275113877E0
1.142598449E0,-4.692635238E-1,-5.171475410E-1,2.806004286E0,2.891592967E0
1.147603334E0,-3.926490843E-1,-7.852981687E-1,2.145204782E0,2.317923656E0
1.152638738E0,-2.968810201E-1,-1.082179189E0,1.398213744E0,1.792833459E0
1.157674141E0,-2.489969730E-1,-1.197100878E0,9.002198577E-1,1.518369453E0
1.162709544E0,-1.723825186E-1,-1.398213744E0,3.830722570E-1,1.459952657E0
1.167714429E0,4.884171486E-1,8.331822157E-1,-9.672574997E-1,1.366869045E0
1.172749833E0,3.926490784E0,5.250963211E1,-3.228341675E1,6.176485887E1
1.177785236E0,4.520252705E0,7.837658691E1,-1.908657646E1,8.079368454E1
1.182820640E0,1.082179189E0,7.176859283E1,1.522712231E0,7.179290133E1
1.187856042E0,1.915361360E-2,5.391742229E0,2.480392933E0,5.934947366E0
1.192860928E0,2.873042040E-2,-6.895300746E-1,-3.064578176E-1,7.551116174E-1
1.197896331E0,9.576806799E-3,-7.757213712E-1,7.661445439E-2,7.795544468E-1
1.202931735E0,9.576806799E-3,-7.757213712E-1,-5.746084079E-2,7.779055914E-1
1.207967138E0,2.873042040E-2,-7.661445141E-1,-2.873042040E-2,7.672211484E-1
1.212972024E0,-4.788403213E-2,-7.852981687E-1,1.915361360E-2,7.869898063E-1
1.218007426E0,0.000000000E0,-7.374141216E-1,7.661445439E-2,7.413834105E-1
1.223042830E0,2.873042040E-2,-7.757213712E-1,9.576806426E-2,7.821384819E-1
1.228078233E0,4.788403213E-2,-7.374141216E-1,2.873042040E-2,7.395254589E-1
