"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.389805930E-1,-4.663905144E0,5.334281445E0,8.571242332E0,1.112082573E1
3.440159880E-1,-4.395754337E0,5.324704647E0,8.705317497E0,1.111115154E1
3.490208670E-1,-4.060565948E0,5.104437828E0,8.408436775E0,1.064167705E1
3.540562630E-1,-3.581725836E0,5.008669853E0,9.050082207E0,1.094621038E1
3.590916590E-1,-3.131615877E0,4.970362663E0,9.672574997E0,1.131681183E1
3.641270540E-1,-2.671929121E0,4.865017891E0,1.012268448E1,1.154453747E1
3.691319330E-1,-2.212242365E0,4.884171486E0,1.018014526E1,1.150584656E1
3.741673290E-1,-1.647210717E0,4.941632271E0,1.013226128E1,1.139279383E1
3.792027250E-1,-1.388636947E0,4.970362663E0,1.010353088E1,1.134522604E1
3.842381200E-1,-1.331176162E0,5.037400246E0,9.911994934E0,1.119799423E1
3.892429990E-1,-1.589749932E0,4.692635536E0,9.739612579E0,1.092740529E1
3.942783950E-1,-1.723825216E0,4.338293552E0,9.758766174E0,1.081785014E1
3.993137910E-1,-1.446097851E0,4.232948780E0,1.014183807E1,1.108449069E1
4.043491860E-1,-5.171475410E-1,5.382165432E0,1.262223148E1,1.373156488E1
4.093540650E-1,-1.493981838E0,4.146757126E0,1.231577396E1,1.308074404E1
4.143894610E-1,-2.346317768E0,3.198653460E0,1.206677628E1,1.270211324E1
4.194248560E-1,-2.767697096E0,2.643198729E0,1.169328117E1,1.230363651E1
4.244602520E-1,-3.035847664E0,2.432508945E0,1.134851646E1,1.199676193E1
4.294651300E-1,-3.859453201E0,2.365471363E0,1.192312431E1,1.275349862E1
4.345005270E-1,-4.635174274E0,2.537853718E0,1.159751320E1,1.274471869E1
4.395359220E-1,-5.181052685E0,2.528276920E0,1.158793640E1,1.294278800E1
4.445713180E-1,-5.755661011E0,2.595314741E0,1.162624359E1,1.322999744E1
4.495761960E-1,-6.071695328E0,2.949656487E0,1.193270111E1,1.370967955E1
4.546115930E-1,-6.004657745E0,2.662352324E0,1.176031876E1,1.347030556E1
4.596469880E-1,-5.889736176E0,2.777273893E0,1.152089882E1,1.323379583E1
4.646823840E-1,-5.525817394E0,2.825158119E0,1.093671322E1,1.257489055E1
4.696872620E-1,-5.286397457E0,2.748543501E0,1.057279491E1,1.213608181E1
4.747226580E-1,-5.209783077E0,2.834734917E0,1.024718285E1,1.183986140E1
4.797580540E-1,-5.190629482E0,2.901772499E0,1.024718285E1,1.184768646E1
4.847934500E-1,-5.152322292E0,3.045424461E0,1.059194851E1,1.216595283E1
4.897983280E-1,-4.922478676E0,3.055001259E0,1.098459721E1,1.241874409E1
4.948337240E-1,-4.481945515E0,2.959233284E0,1.159751320E1,1.278073588E1
4.998691200E-1,-3.964797974E0,2.853888512E0,1.247857952E1,1.340071824E1
5.048739990E-1,-3.409343243E0,2.748543501E0,1.343626022E1,1.413192137E1
5.099093940E-1,-2.901772499E0,2.518700123E0,1.433648014E1,1.484246599E1
5.149447900E-1,-2.480392933E0,2.413355350E0,1.518881512E1,1.557808518E1
5.199801860E-1,-2.308010340E0,2.327163935E0,1.594538307E1,1.627875441E1
5.249850650E-1,-1.886630893E0,2.422932148E0,1.663491249E1,1.691597736E1
5.300204600E-1,-1.532289028E0,2.604891539E0,1.699883270E1,1.726538974E1
5.350558560E-1,-1.532289028E0,2.518700123E0,1.697010231E1,1.722428902E1
5.400912520E-1,-1.532289028E0,2.489969730E0,1.687433434E1,1.712574139E1
5.450961310E-1,-1.197100878E0,2.691082716E0,1.646253014E1,1.672393121E1
5.501315260E-1,-6.512228847E-1,3.160346270E0,1.601242065E1,1.633430424E1
5.551669220E-1,1.340752989E-1,3.409343243E0,1.525585365E1,1.563274346E1
5.602023180E-1,6.224924326E-1,3.754108191E0,1.451843929E1,1.500886087E1
5.652071970E-1,8.906430602E-1,3.916913986E0,1.363737297E1,1.421665930E1
5.702425920E-1,9.768342972E-1,4.098873138E0,1.281376743E1,1.348879543E1
5.752779880E-1,9.193734527E-1,4.185064793E0,1.192312431E1,1.266968462E1
5.803133840E-1,7.852981687E-1,4.328716755E0,1.108994198E1,1.193068712E1
5.853182630E-1,4.788403511E-1,4.338293552E0,1.062067890E1,1.148254760E1
5.903536580E-1,5.267243981E-1,4.395754337E0,1.024718285E1,1.116265430E1
5.953890530E-1,6.129156351E-1,4.232948780E0,9.749189377E0,1.064613613E1
6.003939320E-1,1.216254473E0,4.022258759E0,9.375694275E0,1.027431183E1
6.054293280E-1,1.781286120E0,3.821146011E0,9.184157372E0,1.010558676E1
6.104647240E-1,2.365471363E0,3.629609823E0,9.078812599E0,1.005954077E1
6.155001190E-1,2.710236311E0,3.476380825E0,8.868123055E0,9.903242449E0
6.205049980E-1,2.930502892E0,3.399766445E0,8.686163902E0,9.777305478E0
6.255403940E-1,2.987963676E0,3.323152065E0,8.456320763E0,9.564550560E0
6.305757900E-1,2.863465309E0,3.275267839E0,8.092401505E0,9.187696942E0
6.356111850E-1,2.710236311E0,3.399766445E0,7.603984833E0,8.759245292E0
6.406160640E-1,2.633621931E0,3.390189648E0,7.230489254E0,8.408883706E0
6.456514600E-1,2.489969730E0,3.457227230E0,6.722918510E0,7.959271492E0
6.506868560E-1,2.547430515E0,3.447650433E0,6.167463779E0,7.510879123E0
6.557222510E-1,2.671929121E0,3.505111217E0,5.736507416E0,7.234122421E0
6.607271300E-1,2.853888512E0,3.495534420E0,5.401319027E0,7.038301482E0
6.657625260E-1,3.016694069E0,3.438073635E0,5.142745018E0,6.882486451E0
6.707979220E-1,3.246537447E0,3.399766445E0,4.826710701E0,6.737622241E0
6.758333170E-1,3.485957623E0,3.323152065E0,4.481945515E0,6.578987444E0
6.808381960E-1,3.696647406E0,3.112462282E0,4.280832767E0,6.455861885E0
6.858735920E-1,3.773261786E0,2.959233284E0,4.070142746E0,6.289724009E0
6.909089880E-1,3.830722809E0,2.604891539E0,3.859453201E0,6.029533662E0
6.959443830E-1,3.840299606E0,2.355894566E0,3.715801001E0,5.839975800E0
7.009492620E-1,3.916913986E0,1.924938202E0,3.687070608E0,5.713325820E0
7.059846580E-1,4.012681961E0,1.561019540E0,3.533841610E0,5.570137794E0
7.110200540E-1,4.070142746E0,1.216254473E0,3.438073635E0,5.464950799E0
7.160554490E-1,4.223371983E0,8.427590132E-1,3.361459255E0,5.463197048E0
7.210603280E-1,4.194641590E0,7.086837292E-1,3.399766445E0,5.445701294E0
7.260957240E-1,4.041412354E0,4.596867263E-1,3.687070608E0,5.489883001E0
7.311311200E-1,3.964797974E0,3.064578176E-1,3.993528366E0,5.635761544E0
7.361359980E-1,3.792415380E0,3.447650373E-1,4.481945515E0,5.881250968E0
7.411713940E-1,3.562572241E0,2.777273953E-1,5.190629482E0,6.301721027E0
7.462067890E-1,3.428496838E0,2.681505978E-1,5.880159378E0,6.811957840E0
7.512421860E-1,3.208230257E0,2.873041928E-1,6.579266071E0,7.325436992E0
7.562470640E-1,3.074155092E0,2.585737705E-1,7.096413612E0,7.737982688E0
