"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.315500950E-1,5.746084079E-2,3.409343243E0,8.590395927E0,9.242392833E0
3.365855030E-1,-7.661445439E-2,3.418920040E0,8.647856712E0,9.299479003E0
3.416209110E-1,1.628057212E-1,3.007117271E0,9.212887764E0,9.692603414E0
3.466563200E-1,8.523358107E-1,2.451662540E0,1.031422138E1,1.063580219E1
3.516612090E-1,7.469909191E-1,2.633621931E0,9.931148529E0,1.030153731E1
3.566966180E-1,6.320692301E-1,2.509123325E0,9.806650162E0,1.014226793E1
3.617320260E-1,9.864110947E-1,2.298433542E0,1.015141487E1,1.045500012E1
3.667369170E-1,1.254561663E0,2.126051188E0,1.031422138E1,1.060552598E1
3.717723240E-1,1.417367458E0,2.078166962E0,1.032379818E1,1.062584196E1
3.768077330E-1,1.312022567E0,2.020706177E0,1.025675964E1,1.053592782E1
3.818431410E-1,1.216254473E0,2.030282974E0,1.028549004E1,1.055427066E1
3.868480310E-1,1.244984865E0,2.135627985E0,1.030464458E1,1.059700874E1
3.918834390E-1,1.110909581E0,2.260126352E0,1.033337498E1,1.063583234E1
3.969188480E-1,9.289502501E-1,2.327163935E0,1.037168217E1,1.067007177E1
4.019542560E-1,7.852981687E-1,2.528276920E0,1.034295177E1,1.067640056E1
4.069591460E-1,5.171475410E-1,2.662352324E0,1.036210537E1,1.071115256E1
4.119945540E-1,2.681505978E-1,2.738966703E0,1.038125896E1,1.073985014E1
4.170299630E-1,7.661445439E-2,2.585737944E0,1.041956615E1,1.073588698E1
4.220348530E-1,-1.915361360E-2,2.643198729E0,1.058237171E1,1.090749547E1
4.270702610E-1,-3.830722719E-2,2.518700123E0,1.083136845E1,1.112042536E1
4.321056690E-1,1.915361360E-2,2.518700123E0,1.099417400E1,1.127901056E1
4.371410780E-1,5.746084079E-2,2.585737944E0,1.110909557E1,1.140619774E1
4.421459670E-1,4.788403213E-2,2.595314741E0,1.124317074E1,1.153892715E1
4.471813760E-1,0.000000000E0,2.633621931E0,1.126232433E1,1.156615381E1
4.522167840E-1,4.788403213E-2,2.624045134E0,1.124317074E1,1.154542308E1
4.572521920E-1,9.576806426E-2,2.671929121E0,1.118570995E1,1.150080362E1
4.622876000E-1,2.873042040E-2,2.662352324E0,1.113782597E1,1.145164235E1
4.672924910E-1,1.915361360E-2,2.633621931E0,1.105163479E1,1.136111627E1
4.723278990E-1,3.830722719E-2,2.738966703E0,1.090798283E1,1.124666597E1
4.773633070E-1,1.628057212E-1,2.748543501E0,1.072602367E1,1.107377898E1
4.823681970E-1,2.298433632E-1,2.806004286E0,1.062067890E1,1.098750692E1
4.874036060E-1,3.447650373E-1,2.834734917E0,1.044829655E1,1.083150431E1
4.924390140E-1,4.405331016E-1,2.844311714E0,1.036210537E1,1.075441334E1
4.974744220E-1,2.968810201E-1,2.729389906E0,1.033337498E1,1.069188225E1
5.024793120E-1,3.160346150E-1,2.825158119E0,1.021845245E1,1.060651530E1
5.075147210E-1,3.064578176E-1,2.844311714E0,1.020887566E1,1.060213034E1
5.125501280E-1,1.628057212E-1,2.901772499E0,1.020887566E1,1.061451513E1
5.175550190E-1,2.202665508E-1,2.920926094E0,1.015141487E1,1.056558330E1
5.225904270E-1,2.873041928E-1,2.930502892E0,9.940725327E0,1.036766179E1
5.276258360E-1,3.351882398E-1,2.968810081E0,9.500192642E0,9.958907806E0
5.326612430E-1,5.650315881E-1,2.978386879E0,9.260771751E0,9.744328737E0
5.376661340E-1,7.086837292E-1,2.997540474E0,9.203310966E0,9.705071575E0
5.427015420E-1,8.810662031E-1,3.016694069E0,9.155426979E0,9.679801854E0
5.477369500E-1,1.216254473E0,2.863465309E0,9.145850182E0,9.660501232E0
5.527723580E-1,1.417367458E0,2.825158119E0,9.308655739E0,9.830641921E0
5.577772490E-1,1.340752959E0,2.853888512E0,9.672574997E0,1.017354438E1
5.628126570E-1,1.197100878E0,3.055001259E0,9.844957352E0,1.037734400E1
5.678480650E-1,9.002198577E-1,3.198653460E0,1.023760605E1,1.076338039E1
5.728529560E-1,5.458779931E-1,3.399766445E0,1.049618053E1,1.104654699E1
