"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.352999630E-1,-1.254561663E0,5.171475887E0,9.404424667E0,1.080561387E1
3.403353540E-1,-1.656787634E0,6.119579315E0,1.120486355E1,1.287412768E1
3.453707450E-1,-2.250549555E0,6.933608055E0,1.348414421E1,1.532847152E1
3.503756180E-1,-3.122039080E0,7.575253963E0,1.614649582E1,1.810637810E1
3.554110080E-1,-3.505111217E0,8.341399193E0,1.887588692E1,2.093236375E1
3.604464000E-1,-3.754108191E0,9.193734169E0,2.131797218E1,2.351752568E1
3.654512720E-1,-3.888183594E0,1.051533413E1,2.356852150E1,2.609914614E1
3.704866630E-1,-3.715801001E0,1.199973869E1,2.570414925E1,2.860951230E1
3.755220540E-1,-2.987963676E0,1.241154194E1,2.790681458E1,3.068818339E1
3.805574450E-1,-1.561019540E0,1.181777954E1,2.975513840E1,3.205409422E1
3.855623170E-1,-2.777273953E-1,9.921571732E0,3.075112724E1,3.231325649E1
3.905977090E-1,1.024718285E0,8.140285492E0,3.151727104E1,3.256766294E1
3.956330990E-1,1.647210717E0,6.837840080E0,3.190991974E1,3.267586782E1
4.006379720E-1,1.752555609E0,6.234501362E0,3.216849518E1,3.281390773E1
4.056733630E-1,1.637633920E0,6.263231754E0,3.151727104E1,3.217527453E1
4.107087540E-1,1.187524080E0,6.129156113E0,3.053086090E1,3.116264166E1
4.157441440E-1,-5.554547906E-1,5.918466568E0,2.865380669E1,2.926392684E1
4.207490180E-1,-1.838746905E0,6.387730122E0,2.674802208E1,2.756158144E1
4.257844080E-1,-3.045424461E0,6.914454460E0,2.501461983E1,2.613073852E1
4.308198000E-1,-3.227383852E0,7.900865555E0,2.350148392E1,2.500318838E1
4.358246730E-1,-3.466804028E0,8.734047890E0,2.147120094E1,2.343746558E1
4.408600630E-1,-3.763684988E0,8.887276649E0,1.898123169E1,2.129404065E1
4.458954540E-1,-3.849876404E0,8.983044624E0,1.684560394E1,1.947539502E1
4.509308450E-1,-4.003105164E0,9.385271072E0,1.484405041E1,1.801260660E1
4.559357180E-1,-4.022258759E0,9.576807022E0,1.298614979E1,1.662930800E1
4.609711090E-1,-3.715801001E0,9.500192642E0,1.107078838E1,1.505400919E1
4.660064990E-1,-3.275267839E0,9.327810287E0,9.509769440E0,1.371754858E1
4.710113720E-1,-2.786850691E0,9.050082207E0,8.283937454E0,1.258150009E1
4.760467640E-1,-2.509123325E0,9.088389397E0,7.450755596E0,1.201699965E1
